match_id,match_date,opponent,home_away,starting_position,minutes,events_analysed,touches_proxy,located_touches_proxy,receptions,located_receptions,avg_touch_x,avg_touch_y,avg_reception_x,avg_reception_y,left_wing_share,left_halfspace_share,centre_share,right_halfspace_share,right_wing_share,left_share,central_share,right_share,halfspace_share,final_third_involvement,final_third_share,passes,carries,shots,pressures,tackles,interceptions,recoveries,passes_completed,pass_completion,forward_passes,passes_unknown_endpoints,progressive_passes,passes_final_third_entry,passes_penalty_area_entry,carries_unknown_endpoints,progressive_carries,carries_final_third_entry,carries_penalty_area_entry,final_third_entries,penalty_area_entries,defensive_actions,touches_proxy_p90,receptions_p90,passes_p90,carries_p90,shots_p90,progressive_passes_p90,progressive_carries_p90,defensive_actions_p90,nearest_defender_distance,shot_assists,xg
statsbomb:match:3895139,2023-11-12,Union Berlin,home,Left Attacking Midfield,87.96711666666667,272,220,220,69,69,63.69924242424243,37.06931818181818,62.711352657004824,35.231884057971016,0.2818181818181818,0.35,0.13636363636363635,0.17272727272727273,0.05909090909090909,0.6318181818181818,0.13636363636363635,0.2318181818181818,0.5227272727272727,78,0.35454545454545455,68,75,3,18,0,2,8,57,0.8382352941176471,35,0,6,9,3,0,7,7,1,16,4,28,225.08410813358856,70.59456118735277,69.57145160492738,76.73321868190519,3.0693287472762076,6.138657494552415,7.161767076977817,28.64706830791127,,4,0.5215122839999999
statsbomb:match:3895153,2023-11-25,Werder Bremen,away,Left Attacking Midfield,81.18211666666666,217,158,158,52,52,57.26371308016877,44.399525316455694,55.85576923076923,43.625,0.17088607594936708,0.36075949367088606,0.17088607594936708,0.17721518987341772,0.12025316455696203,0.5316455696202531,0.17088607594936708,0.2974683544303797,0.5379746835443038,54,0.34177215189873417,51,49,0,30,1,0,3,47,0.9215686274509803,25,0,7,3,4,0,8,6,2,9,6,34,175.16172999513236,57.64816430219546,56.53954575792247,54.32230866937649,0.0,7.760329809910927,8.868948354183917,37.69303050528165,,0,0
statsbomb:match:3895158,2023-12-03,Borussia Dortmund,home,Left Attacking Midfield,98.57655,346,273,273,84,84,70.01953601953602,42.035714285714285,69.31349206349206,40.14434523809524,0.315018315018315,0.2490842490842491,0.1282051282051282,0.13553113553113552,0.17216117216117216,0.5641025641025641,0.1282051282051282,0.3076923076923077,0.38461538461538464,185,0.6776556776556777,100,82,2,27,1,2,11,82,0.82,46,0,12,1,4,0,6,2,2,3,6,41,249.24791951026893,76.69166754162121,91.29960421621573,74.86567545729689,1.8259920843243145,10.955952505945888,5.477976252972944,37.432837728648444,,3,0.070881274
statsbomb:match:3895167,2023-12-10,VfB Stuttgart,away,Right Wing,99.17123333333332,288,230,230,68,68,57.35108695652174,59.92771739130435,56.877450980392155,60.04595588235294,0.12173913043478261,0.1782608695652174,0.11739130434782609,0.24782608695652175,0.3347826086956522,0.3,0.11739130434782609,0.5826086956521739,0.4260869565217391,62,0.26956521739130435,79,75,2,27,5,1,8,67,0.8481012658227848,37,0,11,5,1,0,14,7,1,12,2,41,208.72988369947336,61.71144387636604,71.69417744460172,68.06409251069783,1.8150424669519423,9.982733568235682,12.705297268663596,37.208370572514816,,1,0.56590184
statsbomb:match:3895180,2023-12-17,Eintracht Frankfurt,home,Left Attacking Midfield,87.96331666666667,250,184,184,60,60,56.83469202898551,39.474184782608695,53.520833333333336,40.59375,0.21739130434782608,0.3858695652173913,0.20108695652173914,0.09239130434782608,0.10326086956521739,0.6032608695652174,0.20108695652173914,0.1956521739130435,0.4782608695652174,60,0.32608695652173914,61,54,4,30,0,2,10,49,0.8032786885245902,28,0,10,4,2,0,11,4,4,8,6,42,188.26029562702178,61.38922683489841,62.412380615480046,55.25030415140857,4.092615122326561,10.231537805816401,11.254691586398042,42.97245878442889,,1,0.544262803
statsbomb:match:3895182,2023-12-20,Bochum,home,Left Attacking Midfield,89.70043333333334,260,193,193,66,66,58.630829015544045,56.67227979274612,57.878787878787875,56.86931818181818,0.16580310880829016,0.15025906735751296,0.17098445595854922,0.2538860103626943,0.25906735751295334,0.3160621761658031,0.17098445595854922,0.5129533678756477,0.40414507772020725,61,0.3160621761658031,69,56,1,21,1,0,4,57,0.8260869565217391,35,0,9,5,2,0,3,2,1,7,3,26,193.64454946891746,66.22041588056244,69.23043478422437,56.187019535022685,1.0033396345539765,9.030056710985788,3.0100189036619294,26.086830498403387,,1,0.10643516
statsbomb:match:3895194,2024-01-13,Augsburg,away,,34.69096666666667,134,117,117,38,38,71.60968660968662,47.07051282051282,69.86622807017544,45.30263157894737,0.3162393162393162,0.21367521367521367,0.017094017094017096,0.2564102564102564,0.19658119658119658,0.5299145299145299,0.017094017094017096,0.452991452991453,0.4700854700854701,84,0.717948717948718,37,37,2,7,1,0,4,31,0.8378378378378378,15,0,2,1,2,0,0,3,1,4,3,12,303.5372320748245,98.58474204139598,95.99040672451714,95.99040672451714,5.188670633757683,5.188670633757683,0.0,31.132023802546097,,0,0.142889615
statsbomb:match:3895202,2024-01-20,RB Leipzig,away,Left Attacking Midfield,98.48491666666665,256,184,184,61,61,67.90715579710145,42.58967391304348,68.78005464480874,43.467213114754095,0.29347826086956524,0.2717391304347826,0.125,0.14130434782608695,0.16847826086956522,0.5652173913043478,0.125,0.30978260869565216,0.41304347826086957,99,0.5380434782608695,55,60,3,27,2,0,4,48,0.8727272727272727,23,0,2,4,2,0,6,3,3,7,5,33,168.1475758978321,55.74457679221608,50.261503665112855,54.83073127103221,2.7415365635516102,1.8276910423677402,5.4830731271032205,30.156902199067712,,2,0.169646643
statsbomb:match:3895210,2024-01-27,Borussia Mönchengladbach,home,Left Wing,95.49,313,254,254,82,82,73.17913385826772,39.1628937007874,72.9989837398374,39.73170731707317,0.2952755905511811,0.33070866141732286,0.05511811023622047,0.23228346456692914,0.08661417322834646,0.6259842519685039,0.05511811023622047,0.3188976377952756,0.562992125984252,189,0.7440944881889764,84,83,4,26,1,0,5,76,0.9047619047619048,39,0,8,5,7,0,4,5,1,10,8,32,239.3967954759661,77.28557964184732,79.17059377945336,78.22808671065033,3.770028275212064,7.540056550424128,3.770028275212064,30.160226201696513,,6,0.524159179
statsbomb:match:3895220,2024-02-03,Darmstadt 98,away,Left Attacking Midfield,77.99973333333334,237,194,194,64,64,63.9110824742268,36.871134020618555,61.212239583333336,37.720703125,0.3711340206185567,0.24742268041237114,0.14948453608247422,0.10824742268041238,0.12371134020618557,0.6185567010309279,0.14948453608247422,0.23195876288659795,0.3556701030927835,82,0.422680412371134,65,56,2,16,0,3,3,57,0.8769230769230769,20,0,4,2,2,0,6,3,1,5,3,22,223.84691913476627,73.8464063125002,75.00025641113302,64.61560552343768,2.3077001972656315,4.615400394531263,6.923100591796895,25.384702169921948,,1,0.184695376
