record_type,player_id,player_name,matches,minutes,low_confidence,z1_mean,z1_median,z1_std,z2_mean,z2_median,z2_std,z3_mean,z3_median,z3_std,z4_mean,z4_median,z4_std,rms_spread,z1,z2,z3,z4,cosine_similarity,euclidean_distance,cosine_rank,euclidean_rank,match_id,split,distance_to_season_mean,group,n_rows,n_players
player_match,statsbomb:player:40724,Florian Wirtz,,89.70043333333334,,,,,,,,,,,,,,,-1.3494980335235596,-0.9081017971038818,-0.1773303598165512,-0.5629101395606995,,,,,statsbomb:match:3895182,train,2.9018626580815643,,,
player_match,statsbomb:player:40724,Florian Wirtz,,34.69096666666667,,,,,,,,,,,,,,,-2.939146041870117,-2.9490418434143066,-0.7995486855506897,-0.6014196872711182,,,,,statsbomb:match:3895194,train,0.7806749229230158,,,
player_match,statsbomb:player:40724,Florian Wirtz,,98.48491666666665,,,,,,,,,,,,,,,-2.945566415786743,-1.7384607791900635,-0.6845853328704834,-1.9433376789093018,,,,,statsbomb:match:3895202,train,1.3466604001677942,,,
player_match,statsbomb:player:40724,Florian Wirtz,,95.49,,,,,,,,,,,,,,,-4.658241271972656,-3.8209128379821777,-3.5692555904388428,-3.2049615383148193,,,,,statsbomb:match:3895210,train,3.8202635589722593,,,
player_match,statsbomb:player:40724,Florian Wirtz,,77.99973333333334,,,,,,,,,,,,,,,-2.3429806232452393,-1.131929874420166,0.07132620364427567,-0.8310158848762512,,,,,statsbomb:match:3895220,train,2.155941506443841,,,
player_match,statsbomb:player:40724,Florian Wirtz,,91.36318333333334,,,,,,,,,,,,,,,-1.3100104331970215,-0.6576505899429321,0.35502612590789795,-0.555583119392395,,,,,statsbomb:match:3895232,train,3.238199626231843,,,
player_match,statsbomb:player:40724,Florian Wirtz,,89.70753333333333,,,,,,,,,,,,,,,-4.412047386169434,-4.94016695022583,-1.1670253276824951,-0.19857105612754822,,,,,statsbomb:match:3895244,val,2.6308140224291514,,,
player_match,statsbomb:player:40724,Florian Wirtz,,91.87245,,,,,,,,,,,,,,,-1.1864185333251953,-0.6007137298583984,-1.1131993532180786,-1.1356642246246338,,,,,statsbomb:match:3895250,train,3.1214835157781944,,,
player_match,statsbomb:player:40724,Florian Wirtz,,96.84403333333333,,,,,,,,,,,,,,,-1.7074159383773804,-0.6985031962394714,-0.6724621057510376,-1.501230239868164,,,,,statsbomb:match:3895258,train,2.6926465276361413,,,
player_match,statsbomb:player:40724,Florian Wirtz,,90.38476666666665,,,,,,,,,,,,,,,-2.140178680419922,-1.5169017314910889,-1.0068799257278442,-1.408393144607544,,,,,statsbomb:match:3895266,train,1.8046318927283538,,,
player_match,statsbomb:player:40724,Florian Wirtz,,95.33855,,,,,,,,,,,,,,,-1.7032488584518433,-1.6510844230651855,-1.1041457653045654,-0.8793326020240784,,,,,statsbomb:match:3895275,train,2.0859995217368925,,,
player_match,statsbomb:player:40724,Florian Wirtz,,99.18626666666665,,,,,,,,,,,,,,,-5.948510646820068,-4.188976287841797,-4.186537742614746,-4.3000168800354,,,,,statsbomb:match:3895286,train,5.464519351182722,,,
player_match,statsbomb:player:40724,Florian Wirtz,,104.90231666666666,,,,,,,,,,,,,,,-4.815609455108643,-4.043519496917725,-0.09257106482982635,-1.4347059726715088,,,,,statsbomb:match:3895292,train,2.025994615691707,,,
player_match,statsbomb:player:40724,Florian Wirtz,,44.86846666666667,,,,,,,,,,,,,,,-8.042779922485352,-6.010716438293457,1.4696837663650513,-2.5899951457977295,,,,,statsbomb:match:3895302,train,6.236470155937098,,,
player_match,statsbomb:player:40724,Florian Wirtz,,31.151683333333335,,,,,,,,,,,,,,,-3.7309746742248535,-3.535344123840332,-1.6502971649169922,-1.588397741317749,,,,,statsbomb:match:3895348,train,1.2761813269029258,,,
prototype_without_wirtz,,,,,,,,,,,,,,,,,,,-3.2292270201903124,-1.2789180228343378,-0.3468779298548515,-2.4625306668189855,0.7511419771181481,1.999506702491345,1,1,,,,wing_back,65,5
prototype_without_wirtz,,,,,,,,,,,,,,,,,,,-3.212165216082021,-0.8902340343123988,0.1116247252610169,-2.6775302745793996,0.5862017067540447,2.5462412323174077,2,2,,,,attacking_midfielder,38,6
prototype_without_wirtz,,,,,,,,,,,,,,,,,,,-4.736498408019543,-1.40495484508574,2.9388608164153993,-2.889841489493847,0.23673143336236394,4.484133355942509,3,5,,,,striker,32,4
prototype_without_wirtz,,,,,,,,,,,,,,,,,,,-1.030063041485846,-0.9973051699344069,-0.24408290040446445,0.33807852934114635,0.06172417534286409,3.380362757984841,4,3,,,,central_midfielder,64,3
prototype_without_wirtz,,,,,,,,,,,,,,,,,,,-1.0560293906869798,-0.6283275755122304,0.9298244902434257,1.3748698989645793,-0.49203736216067867,4.431753346855197,5,4,,,,centre_back,104,7
