match_id,period,team_id,window_start_s,window_end_s,sample_interval_s,entity_id,player_id,track_ids,input_rows,observed_frames,expected_frames,visible_fraction,time_span_s,tracking_avg_x_m,tracking_avg_y_m,tracking_left_wide_occupancy,tracking_left_halfspace_occupancy,tracking_central_occupancy,tracking_right_halfspace_occupancy,tracking_right_wide_occupancy,tracking_halfspace_occupancy,valid_nearest_teammate_frames,mean_nearest_teammate_distance_m,median_nearest_teammate_distance_m,valid_nearest_opponent_frames,mean_nearest_opponent_distance_m,median_nearest_opponent_distance_m,mean_local_teammates_r5,valid_local_teammates_r5_frames,mean_local_opponents_r5,valid_local_opponents_r5_frames,mean_local_teammates_r10,valid_local_teammates_r10_frames,mean_local_opponents_r10,valid_local_opponents_r10_frames
skillcorner:match:1886347,1,skillcorner:team:1805,0.0,30.0,0.1,player:skillcorner:player:966120,skillcorner:player:966120,skillcorner:track:967683,300,213,300,0.71,24.2,67.41642741061754,31.48544600938968,0.0,0.36619718309859156,0.4694835680751174,0.1643192488262911,0.0,0.5305164319248826,213,8.488358550894844,8.865788345971392,213,4.837027901128846,4.836950403966216,0.14084507042253522,213,0.6291079812206573,213,0.7136150234741784,213,2.807511737089202,213
skillcorner:match:1886347,1,skillcorner:team:4177,0.0,30.0,0.1,player:skillcorner:player:133498,skillcorner:player:133498,skillcorner:track:135053,300,205,300,0.6833333333333333,24.2,34.091461069418386,19.049560975609754,0.2682926829268293,0.4634146341463415,0.2682926829268293,0.0,0.0,0.4634146341463415,205,12.98642621000445,11.273602184850375,205,9.800160337635534,10.247633584532581,0.0,205,0.18536585365853658,205,0.14146341463414633,205,0.47804878048780486,205
skillcorner:match:1886347,1,skillcorner:team:4177,0.0,30.0,0.1,player:skillcorner:player:133501,skillcorner:player:133501,skillcorner:track:135056,300,159,300,0.53,25.5,47.39299709724238,56.87547169811321,0.0,0.0,0.0,0.44025157232704404,0.559748427672956,0.44025157232704404,159,8.917564889129908,8.205480777681426,159,6.117555069754873,5.796512916529566,0.0,159,0.41509433962264153,159,0.6289308176100629,159,1.2767295597484276,159
skillcorner:match:1886347,1,skillcorner:team:4177,0.0,30.0,0.1,player:skillcorner:player:14736,skillcorner:player:14736,skillcorner:track:14933,300,213,300,0.71,24.2,42.28586809317443,46.20985915492958,0.0,0.0,0.3192488262910798,0.5258215962441315,0.15492957746478872,0.5258215962441315,213,8.519381374050464,7.954961079633031,213,6.061913271940777,5.196349740798648,0.11267605633802817,213,0.4647887323943662,213,1.5821596244131455,213,2.136150234741784,213
skillcorner:match:1886347,1,skillcorner:team:4177,0.0,30.0,0.1,player:skillcorner:player:23418,skillcorner:player:23418,skillcorner:track:24342,300,216,300,0.72,29.9,40.998377403846156,34.97805555555556,0.013888888888888888,0.1574074074074074,0.47685185185185186,0.35185185185185186,0.0,0.5092592592592593,216,9.785747527056568,10.185110225199825,216,5.779165558710388,5.257602713864495,0.0,216,0.4398148148148148,216,1.0185185185185186,216,1.9305555555555556,216
skillcorner:match:1886347,1,skillcorner:team:4177,0.0,30.0,0.1,player:skillcorner:player:285188,skillcorner:player:285188,skillcorner:track:286745,300,0,300,0.0,,,,,,,,,,0,,,0,,,,0,,0,,0,,0
skillcorner:match:1886347,1,skillcorner:team:4177,0.0,30.0,0.1,player:skillcorner:player:33697,skillcorner:player:33697,skillcorner:track:34805,300,213,300,0.71,24.2,29.430288461538463,31.648779342723007,0.0,0.2300469483568075,0.5868544600938967,0.18309859154929578,0.0,0.41314553990610325,213,10.889709169456104,9.034476373901905,213,10.282191991597921,9.074106942238796,0.0,213,0.0,213,0.9107981220657277,213,0.6384976525821596,213
skillcorner:match:1886347,1,skillcorner:team:4177,0.0,30.0,0.1,player:skillcorner:player:38673,skillcorner:player:38673,skillcorner:track:39794,300,170,300,0.5666666666666667,29.9,62.67502262443439,45.21088235294118,0.0,0.0,0.2529411764705882,0.45294117647058824,0.29411764705882354,0.45294117647058824,170,10.741332978647007,11.475487772268718,170,4.405649355025487,3.6627092483956987,0.0,170,0.6647058823529411,170,0.5294117647058824,170,2.0176470588235293,170
skillcorner:match:1886347,1,skillcorner:team:4177,0.0,30.0,0.1,player:skillcorner:player:50951,skillcorner:player:50951,skillcorner:track:52077,300,212,300,0.7066666666666667,29.9,59.481490384615384,34.042264150943396,0.02358490566037736,0.3018867924528302,0.25471698113207547,0.419811320754717,0.0,0.7216981132075472,212,11.929075758328604,12.312660761018243,212,3.954027195203448,3.5887665691317103,0.0,212,0.7877358490566038,212,0.14150943396226415,212,1.6886792452830188,212
skillcorner:match:1886347,1,skillcorner:team:4177,0.0,30.0,0.1,player:skillcorner:player:51667,skillcorner:player:51667,skillcorner:track:52793,300,199,300,0.6633333333333333,24.2,30.408144085813685,43.11185929648241,0.0,0.0,0.44221105527638194,0.5577889447236181,0.0,0.5577889447236181,199,9.533719668722927,8.880854350876346,199,9.374526785649877,10.38784130983923,0.1457286432160804,199,0.4623115577889447,199,1.6582914572864322,199,0.8743718592964824,199
skillcorner:match:1886347,1,skillcorner:team:4177,0.0,30.0,0.1,player:skillcorner:player:51713,skillcorner:player:51713,skillcorner:track:52839,300,213,300,0.71,24.2,35.55306067172265,52.544600938967136,0.0,0.0,0.0,0.6525821596244131,0.3474178403755869,0.6525821596244131,213,9.848415371248066,10.48180190792862,213,7.972781588865298,6.8110096898743295,0.24882629107981222,213,0.22535211267605634,213,0.8732394366197183,213,1.2629107981220657,213
skillcorner:match:1886347,1,skillcorner:team:4177,0.0,30.0,0.1,player:skillcorner:player:965685,skillcorner:player:965685,skillcorner:track:967248,300,217,300,0.7233333333333334,29.9,52.965818858560795,20.00046082949309,0.23963133640552994,0.423963133640553,0.33640552995391704,0.0,0.0,0.423963133640553,217,12.731074728205499,13.072054161454501,217,6.956756888554319,7.870842156338803,0.0,217,0.28110599078341014,217,0.018433179723502304,217,1.2027649769585254,217
